2022-12-27 11:44:27 INFO     D:\Downloads\Demos\70401.rar has been created!
2022-12-27 11:44:32 INFO     D:\Downloads\Demos\70401.rar has been modified!
2022-12-27 11:44:33 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70401\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70401)
2022-12-27 11:44:33 INFO     Scanning directory: D:\Downloads\Demos\70401\
2022-12-27 11:44:33 INFO     At file: winx-vs-forze-inferno.dem
2022-12-27 11:44:40 INFO     Source: D:\Downloads\Demos\70401\winx-vs-forze-inferno.json
2022-12-27 11:44:40 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\winx-vs-forze-inferno_70401.json
2022-12-27 11:44:40 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\winx-vs-forze-inferno_70401.json
2022-12-27 11:44:40 INFO     Analyzed a total of 1 demos!
2022-12-27 11:44:41 INFO     D:\Downloads\Demos\70402.rar has been created!
2022-12-27 11:44:41 INFO     D:\Downloads\Demos\70401.rar has been deleted!
2022-12-27 11:44:41 INFO     D:\Downloads\Demos\70402.rar has been modified!
2022-12-27 11:44:42 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70402\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70402)
2022-12-27 11:44:42 INFO     Scanning directory: D:\Downloads\Demos\70402\
2022-12-27 11:44:42 INFO     At file: tribute-to-tribute-vs-old-but-gold-m1-inferno.dem
2022-12-27 11:44:46 INFO     Source: D:\Downloads\Demos\70402\tribute-to-tribute-vs-old-but-gold-m1-inferno.json
2022-12-27 11:44:46 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\tribute-to-tribute-vs-old-but-gold-m1-inferno_70402.json
2022-12-27 11:44:46 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\tribute-to-tribute-vs-old-but-gold-m1-inferno_70402.json
2022-12-27 11:44:46 INFO     At file: tribute-to-tribute-vs-old-but-gold-m2-mirage.dem
2022-12-27 11:44:49 INFO     Source: D:\Downloads\Demos\70402\tribute-to-tribute-vs-old-but-gold-m2-mirage.json
2022-12-27 11:44:49 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\tribute-to-tribute-vs-old-but-gold-m2-mirage_70402.json
2022-12-27 11:44:49 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\tribute-to-tribute-vs-old-but-gold-m2-mirage_70402.json
2022-12-27 11:44:49 INFO     Analyzed a total of 2 demos!
2022-12-27 11:44:49 INFO     D:\Downloads\Demos\70403.rar has been created!
2022-12-27 11:44:49 INFO     D:\Downloads\Demos\70403.rar has been modified!
2022-12-27 11:44:50 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70403\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70403)
2022-12-27 11:44:50 INFO     Scanning directory: D:\Downloads\Demos\70403\
2022-12-27 11:44:50 INFO     At file: 1shot-vs-illuminar-dust2.dem
2022-12-27 11:44:56 INFO     Source: D:\Downloads\Demos\70403\1shot-vs-illuminar-dust2.json
2022-12-27 11:44:56 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\1shot-vs-illuminar-dust2_70403.json
2022-12-27 11:44:56 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\1shot-vs-illuminar-dust2_70403.json
2022-12-27 11:44:56 INFO     Analyzed a total of 1 demos!
2022-12-27 11:44:56 INFO     D:\Downloads\Demos\70402.rar has been deleted!
2022-12-27 11:44:56 INFO     D:\Downloads\Demos\70404.rar has been created!
2022-12-27 11:44:56 INFO     D:\Downloads\Demos\70404.rar has been modified!
2022-12-27 11:44:57 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70404\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70404)
2022-12-27 11:44:57 INFO     Scanning directory: D:\Downloads\Demos\70404\
2022-12-27 11:44:57 INFO     At file: touch-point-vs-new-threat-m1-ancient.dem
